model,scenario,run,mean_distance,mean_p_value,prop_overest_variance
ACCESS-CM2,ssp245,1,0.4251067497020939,0.1508649433912904,0.3348701507499669
ACCESS-CM2,ssp370,1,0.4194801064896253,0.15456698897054405,0.361502014412983
ACCESS-CM2,ssp585,1,0.4163392063401994,0.1568071829192637,0.39139193099926234
ACCESS-CM2,ssp245,2,0.41980910363350926,0.15210130467629018,0.3451975637897445
ACCESS-CM2,ssp370,2,0.4228911318542057,0.14621712322944458,0.33328604664359074
ACCESS-CM2,ssp585,2,0.4262277988991659,0.14509442943083115,0.31447540146399594
ACCESS-CM2,ssp245,3,0.4342780031776656,0.14405144595841718,0.3603482191832643
ACCESS-CM2,ssp370,3,0.43212941421248746,0.14098553273006548,0.37751328755981767
ACCESS-CM2,ssp585,3,0.4252460090033857,0.15498640385154808,0.35624846318258335
ACCESS-ESM1-5,ssp245,1,0.4623845022603038,0.10753672794019278,0.4827167148990902
ACCESS-ESM1-5,ssp370,1,0.47100782121848345,0.09931660267546813,0.46897047419092475
ACCESS-ESM1-5,ssp585,1,0.4607594951673003,0.10583709427743379,0.48433391968828615
ACCESS-ESM1-5,ssp245,2,0.4907585257901606,0.08361147575420531,0.3923565794700108
ACCESS-ESM1-5,ssp370,2,0.4889596218956288,0.08665356720688386,0.35455559968979933
ACCESS-ESM1-5,ssp585,2,0.4847081938375986,0.08568705784047934,0.35262157407932815
ACCESS-ESM1-5,ssp245,3,0.4860914477292932,0.08097341911809514,0.5199975410921334
ACCESS-ESM1-5,ssp370,3,0.4919382104825134,0.07763702878991526,0.4814399742760408
ACCESS-ESM1-5,ssp585,3,0.503712359794965,0.06645012305042915,0.4654003291153606
BCC-CSM2-MR,ssp245,1,0.4069516162590554,0.16492910340289196,0.5075611416898371
BCC-CSM2-MR,ssp370,1,0.4050044685921807,0.1684398297056895,0.5369119900130511
BCC-CSM2-MR,ssp585,1,0.4029690130322117,0.17241988999455835,0.5001986040969189
CanESM5,ssp245,1,0.37816962681344457,0.1977764556351638,0.5088851690026291
CanESM5,ssp370,1,0.3746057472242713,0.1971864102233576,0.5143089523161021
CanESM5,ssp585,1,0.37275151790274075,0.20045542792252471,0.5277809302237606
CanESM5,ssp245,2,0.36818669730844167,0.2164799707814159,0.5601770413663962
CanESM5,ssp370,2,0.3750917361781006,0.20676210817909232,0.5428086402239498
CanESM5,ssp585,2,0.3709115928048573,0.21114237745760506,0.5382738466776372
CanESM5,ssp245,3,0.3764879939094744,0.19161529992772872,0.5665465584747206
CanESM5,ssp370,3,0.3750677381830563,0.19021740984150703,0.6118188352342583
CanESM5,ssp585,3,0.37488131040874617,0.19085690854097756,0.5816688418543948
CESM2-LENS,ssp370,1,0.4102641670922469,0.1803373298001033,0.7429448258904083
CNRM-CM6-1-HR,ssp585,1,0.38310245607066523,0.19537903990292022,0.6257353080254969
CNRM-CM6-1,ssp245,1,0.38531239951578433,0.19886844112862961,0.6010847566626946
CNRM-CM6-1,ssp370,1,0.38986764455541056,0.19727213306487976,0.5875702207342677
CNRM-CM6-1,ssp585,1,0.3867545253362084,0.19745350401889183,0.5973396508350829
CNRM-ESM2-1,ssp245,1,0.3981626756700524,0.19497170960772595,0.54465282112391
CNRM-ESM2-1,ssp370,1,0.39372009116873785,0.20307849205876735,0.5968904272825285
CNRM-ESM2-1,ssp585,1,0.3987571875768409,0.19767552966379523,0.5856030944409768
EC-Earth3-Veg,ssp245,1,0.3661537242996842,0.2171200922868967,0.6197488131040875
EC-Earth3-Veg,ssp370,1,0.36641793867862077,0.21376698151708398,0.6405502279218446
EC-Earth3-Veg,ssp585,1,0.36466821294142127,0.2237563412327399,0.6133367379749948
EC-Earth3-Veg,ssp245,2,0.3552678554540468,0.2378108255807603,0.6193752482551211
EC-Earth3-Veg,ssp370,2,0.3602874557869451,0.23638428651815405,0.6023378539408727
EC-Earth3-Veg,ssp585,2,0.35851727855643195,0.23681419177129975,0.640025345665702
EC-Earth3-Veg,ssp245,3,0.3633392205262063,0.23872379578854472,0.5974105808696968
EC-Earth3-Veg,ssp370,3,0.3647588851690026,0.23342536411468473,0.5718237530499914
EC-Earth3-Veg,ssp585,3,0.3631751357127996,0.23817066881106944,0.6133178232990978
EC-Earth3,ssp245,1,0.37128019255140066,0.1990752647058605,0.7239828633036373
EC-Earth3,ssp370,1,0.3741408008473775,0.20075517300632637,0.7010866481302843
EC-Earth3,ssp585,1,0.36800003310068286,0.20085696885885865,0.7009069587092626
EC-Earth3,ssp245,2,0.3627138540543608,0.23263509652529255,0.6012786320906391
EC-Earth3,ssp585,3,0.36629487506856573,0.2164032171627818,0.595779190073578
FGOALS-g3,ssp245,1,0.36992838430838493,0.22564396116847532,0.601827157691653
FGOALS-g3,ssp370,1,0.377130974673249,0.21769353916693213,0.5404348483988727
FGOALS-g3,ssp585,1,0.36958661975827045,0.22765467755078855,0.5988622822447938
FGOALS-g3,ssp245,3,0.3916579186290643,0.177956134511353,0.6074684597779417
FGOALS-g3,ssp370,3,0.386698017741966,0.18455889165332062,0.5712232120902608
FGOALS-g3,ssp585,3,0.3824489540184229,0.19060214648235632,0.6019075450642153
GFDL-CM4,ssp245,1,0.3834541508256256,0.193064000792934,0.528963097467325
GFDL-CM4,ssp585,1,0.37730652650891827,0.20410854358627328,0.5678469424426412
GFDL-ESM4,ssp245,1,0.39248649965007854,0.19938625091386675,0.4595793376080501
GFDL-ESM4,ssp370,1,0.39917271936295373,0.19524754590370996,0.3950330061094403
GFDL-ESM4,ssp585,1,0.39699292118254553,0.19094039952982322,0.40805576046454445
HadGEM3-GC31-LL,ssp585,2,0.36377425807183794,0.21293683650038586,0.6218956288184002
HadGEM3-GC31-LL,ssp585,3,0.3899343187879476,0.1762717202828114,0.5447852238551892
HadGEM3-GC31-MM,ssp585,2,0.3689150305472016,0.19834110326569743,0.5827517070494997
INM-CM4-8,ssp245,1,0.41893961962586773,0.1641813544424416,0.5752520380563279
INM-CM4-8,ssp370,1,0.421899529970304,0.15825109999948764,0.5508048194594186
INM-CM4-8,ssp585,1,0.4270817965159167,0.15451431012346042,0.5461565378577238
INM-CM5-0,ssp245,1,0.4098771255367039,0.16516782871020175,0.5558124799031569
INM-CM5-0,ssp370,1,0.41403729028353103,0.1552207325410018,0.5520768314134937
INM-CM5-0,ssp585,1,0.41268359057292553,0.16345376170778103,0.5708969339310371
INM-CM5-0,ssp370,2,0.39446722086667046,0.19407651561376665,0.7244273581872175
INM-CM5-0,ssp370,3,0.388639609222796,0.19812875478598954,0.5439104200949517
IPSL-CM6A-LR,ssp245,1,0.37921348048951187,0.17811671201310902,0.49628799485520814
IPSL-CM6A-LR,ssp370,1,0.3821315421135259,0.17490373985115254,0.49746070476082394
IPSL-CM6A-LR,ssp585,1,0.38205056365734175,0.17595715222774042,0.5144602697232783
IPSL-CM6A-LR,ssp245,2,0.37051651251205814,0.19844336205394414,0.5554341863852162
IPSL-CM6A-LR,ssp370,2,0.3712243942575044,0.19715268169855527,0.5321076623352059
IPSL-CM6A-LR,ssp585,2,0.3673259613384025,0.20386753301576993,0.5363445497361403
IPSL-CM6A-LR,ssp245,3,0.3781679717793036,0.17571151231158172,0.3923329361251395
IPSL-CM6A-LR,ssp370,3,0.3786387107756909,0.1762902778927454,0.38819535077266454
IPSL-CM6A-LR,ssp585,3,0.37654674762147955,0.17816898782222815,0.3842374548412113
KACE-1-0-G,ssp245,1,0.38300528192324423,0.17824707293067688,0.5183283209442207
KACE-1-0-G,ssp370,1,0.3887752038056328,0.16772906636199272,0.4972762866708279
KACE-1-0-G,ssp585,1,0.3843462142276192,0.17806448690964607,0.5262346554691786
KACE-1-0-G,ssp245,2,0.39623432446235035,0.15655519371041737,0.6302133575441184
KACE-1-0-G,ssp370,2,0.3987344899657645,0.15377174412441166,0.617091301140555
KACE-1-0-G,ssp585,2,0.4025493436607464,0.14567860834042343,0.6129206151052602
KACE-1-0-G,ssp245,3,0.4065847897633774,0.15149870011795927,0.5327082032949365
KACE-1-0-G,ssp370,3,0.40340464166146517,0.1600278023215296,0.5044922355255442
KACE-1-0-G,ssp585,3,0.40665938451644634,0.1506173139890817,0.5207730428039116
MIROC6,ssp245,1,0.37859627097164694,0.20399101339714937,0.5484877716620326
MIROC6,ssp370,1,0.3843051930242676,0.19714999194014288,0.5354650173069284
MIROC6,ssp585,1,0.391724474644877,0.18224201788856192,0.5264569029109686
MIROC6,ssp245,2,0.4064873791825077,0.16734503845681603,0.4946282320452439
MIROC6,ssp370,2,0.39993734513609114,0.18135053945926502,0.5408367852616845
MIROC6,ssp585,2,0.39772787455786945,0.1823131018912278,0.5396309746732489
MIROC6,ssp245,3,0.3799583640696817,0.20619658987514464,0.560560063553311
MIROC6,ssp370,3,0.38872708959881974,0.18795227530770722,0.559013788798729
MIROC6,ssp585,3,0.3881850659176455,0.18807259161369902,0.5775312565019198
MPI-ESM1-2-HR,ssp245,1,0.3451673003083092,0.26892369916334546,0.6610537365942235
MPI-ESM1-2-HR,ssp370,1,0.3469803902097638,0.2643511178024896,0.6599472280542473
MPI-ESM1-2-HR,ssp585,1,0.3505491166846356,0.2646244152850404,0.6139041782519057
MPI-ESM1-2-HR,ssp245,2,0.37711761618339673,0.21171760994695996,0.5078117611454728
MPI-ESM1-2-HR,ssp370,2,0.3701669456581361,0.2195199414278356,0.5238655923130757
MPI-ESM1-2-HR,ssp585,2,0.3707209092284704,0.21788170438911209,0.5055183566929581
MPI-ESM1-2-HR,ssp370,3,0.37179833645425486,0.2205787341757155,0.6356371408575914
MPI-ESM1-2-LR,ssp245,1,0.36646818078647225,0.2237995111212719,0.5466861487828406
MPI-ESM1-2-LR,ssp370,1,0.3638064130208629,0.22836346114961573,0.5725614254099756
MPI-ESM1-2-LR,ssp585,1,0.36213577427225785,0.23223954991154405,0.5339140138833721
MPI-ESM1-2-LR,ssp245,2,0.37693260700977893,0.20326205914495404,0.5477122699502543
MPI-ESM1-2-LR,ssp370,2,0.38580914619153,0.19371470867325136,0.5499820310578978
MPI-ESM1-2-LR,ssp585,2,0.37610390777204034,0.207168623539909,0.5342355633736215
MPI-ESM1-2-LR,ssp245,3,0.3594205725472394,0.22679749548929762,0.5490552119389435
MPI-ESM1-2-LR,ssp370,3,0.36353498742174056,0.221397303535765,0.49664264502827743
MPI-ESM1-2-LR,ssp585,3,0.363005140063175,0.2273813118906017,0.47645595717717376
MRI-ESM2-0,ssp245,1,0.41115433902665083,0.17109783980683352,0.4895638275738145
MRI-ESM2-0,ssp370,1,0.4020096843140593,0.18073804942603103,0.4942972252170459
MRI-ESM2-0,ssp585,1,0.40056531237587245,0.18417087998289183,0.4895165408840719
NorESM2-LM,ssp245,1,0.41746663924038663,0.1651929134046833,0.7028267983128109
NorESM2-LM,ssp370,1,0.3984160141103482,0.19275228585374884,0.7209754298360097
NorESM2-LM,ssp585,1,0.4189717745748927,0.15709619050286686,0.7120949895023548
NorESM2-LM,ssp245,2,0.4048064555788837,0.18938623320676795,0.6033828897841835
NorESM2-LM,ssp245,3,0.4090059864949214,0.17617865110363287,0.7281866500217519
NorESM2-MM,ssp245,1,0.4179548743119787,0.14466918320094488,0.6922629518243205
NorESM2-MM,ssp370,1,0.42125193875427946,0.14358968605716677,0.6735468800242108
NorESM2-MM,ssp585,1,0.4213530140536042,0.1429056025260928,0.6650447332084964
NorESM2-MM,ssp245,2,0.41109050199549835,0.15169441414121168,0.7167811004558436
TaiESM1,ssp245,1,0.3713014715617848,0.20700111281354305,0.6746297452193156
TaiESM1,ssp370,1,0.36503373905313136,0.21288124168220132,0.7041129962738089
